prompt_id,category,model,n_samples,hivemind_score,embedding_similarity,ast_similarity,naming_similarity,ngram_similarity,pattern_entropy,unique_pattern_sets,library_entropy,unique_import_sets
OD-02,OPEN_DESIGN,Claude Sonnet 4,4,0.3159247647381365,0.0,0.40893628406528304,0.4313375333791088,0.36310527456675845,0.8112781241705938,2,1.9999999994229218,4
OD-02,OPEN_DESIGN,GPT-4o,4,0.49836836120838973,0.0,0.8943074469390259,0.6651785714285714,0.4586559288462584,0.8112781241705938,2,-1.4426951601859516e-10,1
OD-02,OPEN_DESIGN,GPT-4o-mini,4,0.6249888034449125,0.0,0.986842105263158,0.844040842143309,0.7298007246376811,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-02,OPEN_DESIGN,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-02,OPEN_DESIGN,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-02,OPEN_DESIGN,o3-mini,4,0.34235962029527334,0.0,0.8282332433648224,0.37864795757592123,0.17492256390876135,1.9999999994229218,4,1.9999999994229218,4
OD-03,OPEN_DESIGN,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-03,OPEN_DESIGN,Claude Sonnet 4,4,0.3258689012722364,0.0,0.4811320754716981,0.42263025058401765,0.32068290951018746,0.8112781241705938,2,0.8112781241705938,2
OD-03,OPEN_DESIGN,GPT-4o,4,0.49036647174451076,0.0,0.8518518518518517,0.65,0.5382456140350877,0.9999999997114609,2,-1.4426951601859516e-10,1
OD-03,OPEN_DESIGN,GPT-4o-mini,4,0.4610170655678256,0.0,0.7972439425779828,0.680187766163376,0.5044568445081852,1.4999999995671913,3,0.8112781241705938,2
OD-03,OPEN_DESIGN,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-03,OPEN_DESIGN,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-03,OPEN_DESIGN,o3-mini,4,0.42434260374166893,0.0,0.7910234411371703,0.47293328063986156,0.21333391549730063,-1.4426951601859516e-10,1,1.4999999995671913,3
OD-04,OPEN_DESIGN,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-04,OPEN_DESIGN,Claude Sonnet 4,4,0.2949634336615868,0.0,0.0,0.6324178275542675,0.4565324543061621,-1.4426951601859516e-10,1,1.4999999995671913,3
OD-04,OPEN_DESIGN,GPT-4o,4,0.26004727536489863,0.0,0.0,0.5263671993414766,0.3651589032786289,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-04,OPEN_DESIGN,GPT-4o-mini,4,0.27127516816651864,0.0,0.0,0.5331267666605142,0.43099876553071215,-1.4426951601859516e-10,1,0.8112781241705938,2
OD-04,OPEN_DESIGN,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-04,OPEN_DESIGN,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-04,OPEN_DESIGN,o3-mini,4,0.1824322881433476,0.0,0.0,0.29247815801482224,0.15957771023716108,-1.4426951601859516e-10,1,1.4999999995671913,3
OD-05,OPEN_DESIGN,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
OD-05,OPEN_DESIGN,Claude Sonnet 4,4,0.46317957204269306,0.0,0.814982978873337,0.5232073431244118,0.3652823912977831,-1.4426951601859516e-10,1,1.9999999994229218,4
OD-05,OPEN_DESIGN,GPT-4o,4,0.6559672172890241,0.0,0.9827586206896552,0.9565217391304347,0.7931547619047619,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
